player_name,team,position
Pablo Sarabia,Wolverhampton Wanderers,FW
Raúl Jiménez,Wolverhampton Wanderers,FW
Gonçalo Guedes,Wolverhampton Wanderers,FW
João Gomes,Wolverhampton Wanderers,MF
Boubacar Traoré,Wolverhampton Wanderers,MF
Leander Dendoncker,Wolverhampton Wanderers,MF
Daniel Bentley,Wolverhampton Wanderers,GK
Morgan Gibbs-White,Wolverhampton Wanderers,FW
Joseph Hodge,Wolverhampton Wanderers,MF
Chem Campbell,Wolverhampton Wanderers,FW
